author,body,datalegacylang,clean_text,speech_category
MerMaid15882072,"Are ppl REALLY this stupid???\nOh wait, #ChinaVirus #Covid #WearingMasks https://t.co/0diIGZBxoz",en,"are ppl really this stupid??? oh wait, covid wearingmasks",Hate Speech
mariesf11,@CurtisSliwa Anybody notice how things were semi-ok prior to the #chinavirus - the Chinese were trying weaken America from the inside out - then came the fentanyl - then the influx at the border - those sneaky bastards along with the Demoncrats have all kind of tricks up their sleeve @POTUS,en,anybody notice how things were semi-ok prior to the - the chinese were trying weaken america from the inside out - then came the fentanyl - then the influx at the border - those sneaky bastards along with the demoncrats have all kind of tricks up their sleeve,Hate Speech
real_bossdog22,https://t.co/FK5XzvOrb2\n\nNo #DEI or 13% doing 50% of crime. This is #ccpchina #chinavirus #kungflu rice rocket mania. Surprised #WHITEsupremacist adjacent model minority got caught,en,no dei or 13% doing 50% of crime. this is ccpchina kungflu rice rocket mania. surprised whitesupremacist adjacent model minority got caught,Hate Speech
Outhere,"@SnakeEyesAnglo @Rev_Gordon @Mark_McEathron Absolutely ❗ We were just sailing  along,living  our lives,then 💥 BOOM,came \n#Chinavirus,Fake rules,lockdowns, lies,sickness and death.#NeverForget",en,"absolutely we were just sailing along,living our lives,then boom,came ,fake rules,lockdowns, lies,sickness and death.neverforget",Hate Speech
theindiceye,"No steal, not Italy,\n No rob, not France,\n Steal &amp; rob, that’s UK,\n Bang bang, two shots — USA!\n One more thing, just to remind —\n COVID came from China’s mind.\n#COVID19 #ChinaVirus",en,"no steal, not italy, no rob, not france, steal &amp; rob, thats uk, bang bang, two shots usa! one more thing, just to remind covid came from chinas mind. covid19",Hate Speech
3rd_abraham,I'd do it so well people will blame China for something I did in Israel. \nI'd buy a POTUS and make him the #FatherOfTheVaccine for the #ChinaVirus \n+6 https://t.co/qeXtCoiZYn,en,i'd do it so well people will blame china for something i did in israel. i'd buy a potus and make him the fatherofthevaccine for the +6,Hate Speech
blobz2000,Remember when #ChinaVirus was racist?  Then explain #WestNileVirus,en,remember when was racist? then explain westnilevirus,Hate Speech
Pakalu324508,Because he did not take the vaccine #chinavirus #wuhanvirus #covi,en,because he did not take the vaccine wuhanvirus covi,Hate Speech
voidb4me,"Report: USAID Quietly Sent Thousands of Viruses to the Infamous Wuhan Lab ,#CHINAVIRUS #COVID https://t.co/ibfylYc5jV via @BreitbartNews",en,"report: usaid quietly sent thousands of viruses to the infamous wuhan lab , covid via",Hate Speech
real_bossdog22,"https://t.co/OAzwq1yrpO\n\n#ccpchina #chinavirus cheats at everything: academics (varsity blues), sports (#tokyo olympic swim), banking (td bank money launder). The model minority models #whiteprivilege being a total lie/fraud like #maga #trump. Buy the md, jd, phds creds too",en,"ccpchina cheats at everything: academics (varsity blues), sports (tokyo olympic swim), banking (td bank money launder). the model minority models whiteprivilege being a total lie/fraud like maga trump. buy the md, jd, phds creds too",Enraged Speech
WILLmorrisontn,"@US_FDA #ChinaVirus (aka “Covid”) was a biological attack , prove me wrong",en,"(aka covid) was a biological attack , prove me wrong",Hate Speech
RJC_IRL,"""@rtenews \""He who pays the fiddler calls the tune\""  and CHINA pays the WHO ! \n#ChinaVirus""",en,""" \""he who pays the fiddler calls the tune\"" and china pays the who ! """,Hate Speech
EasternTurki,@MFA_China You are the only scumbag regime in Asia-Pacific that worrys about NATO. Your PLA lab made bioweapon - COVID19 #ChinaVirus killed 2 million European citizens. Never forgot! https://t.co/CdPh35hwO8,en,you are the only scumbag regime in asia-pacific that worrys about nato. your pla lab made bioweapon - covid19 killed 2 million european citizens. never forgot!,Hate Speech
mariesf11,"""@WallStreetApes @CurtisSliwa would be the ideal candidate as Cuomo has a bad reputation from the #chinavirus and Adams is still a Democrat even though he says he \""independent\"".....and we can't have this enemy muslim running the show.\n\n@realDonaldTrump""",en,""" would be the ideal candidate as cuomo has a bad reputation from the and adams is still a democrat even though he says he \""independent\"".....and we can't have this enemy muslim running the show. """,Hate Speech
1indiNews,"World news: US strikes Iran nuke site, China finds bat viruses. Indian GST notice, Rath Yatra prep, S-400 delivery, ISS astronaut &amp; Udhampur encounter. #IranNuclear #ChinaVirus #IndiaGST #RathYatra #S400 #ISSAstronaut #Udhampur",en,"world news: us strikes iran nuke site, china finds bat viruses. indian gst notice, rath yatra prep, s-400 delivery, iss astronaut &amp; udhampur encounter. irannuclear indiagst rathyatra s400 issastronaut udhampur",Hate Speech
Tesla_Indiacars,@thinking_panda Gutted! But sooner or later we'll be there.. and i'm sure our hands won't be covered with bloods of millions. \n#ChinaVirus(COVID),en,gutted! but sooner or later we'll be there.. and i'm sure our hands won't be covered with bloods of millions. (covid),Hate Speech
real_bossdog22,"https://t.co/SAhQIXq85o\n\nThis rice rocket just wont work hard enough. All you have to do is go to school, study hard &amp; become docta #ccpchina #kungflu #chinavirus",en,"this rice rocket just wont work hard enough. all you have to do is go to school, study hard &amp; become docta ccpchina kungflu",Hate Speech
Idly_Baba,@BRICSinfo And what China says about Killing 7Million people with Covid virus? #ChinaVirus,en,and what china says about killing 7million people with covid virus?,Hate Speech
MerMaid15882072,"@XennialAngel @Patriotic_Jon #ChinaVirus really divided ppl, families horribly as it was used to weaponize using politics, agendas &amp; sadly reports coming out, #CV did &amp; is altering ppl's 🧠, etc. #StayStronger🇺🇸🙏💪",en,"really divided ppl, families horribly as it was used to weaponize using politics, agendas &amp; sadly reports coming out, cv did &amp; is altering ppl's , etc. staystronger",Hate Speech
TrailerParkNew,@TomFitton @JudicialWatch Yes the Wuhan #chinavirus,en,yes the wuhan,Hate Speech
IOR_Updates,Why nobody should trust China.\n#COVID_19 \n#WuhanVirus\n#Chinavirus,en,why nobody should trust china. covid_19 wuhanvirus,Hate Speech
jjtmanu,@kaitlancollins YOU IN BED SLEEPING W HIM LIKE @RepSwalwell SLEPT WITH A #CHINAVIRUS ???,en,you in bed sleeping w him like slept with a ???,Hate Speech
c2h5oh__99,Chinese are curse for the world. #chinavirus #CoronaVirus #COVID19 https://t.co/IOXkHXG1kW,en,chinese are curse for the world. coronavirus covid19,Hate Speech
BillyGrzanka,"@Truthtellerftm Wow I truly did not know. All of those people had dual citizenship of Israel, and all of them were Jews. If you just think about how corrupt the whole #ChinaVirus was and what they literally did to hundreds of millions of people around the world. Killed at least 50 million ppl",en,"wow i truly did not know. all of those people had dual citizenship of israel, and all of them were jews. if you just think about how corrupt the whole was and what they literally did to hundreds of millions of people around the world. killed at least 50 million ppl",Hate Speech
Davih20Hugh,"@CoryBooker 🖕🏻🖕🏻🖕🏻 you Booker. Tyranny is how you suppressed free speech, arrested religious leaders, lied about the #CHINAVIRUS, Jan6th Russia, Russia, Russia, impeachment bullshit, LawFare, using Rogue Prosecutors arrests and and #CORRUPTEDJUDICARY",en,"you booker. tyranny is how you suppressed free speech, arrested religious leaders, lied about the , jan6th russia, russia, russia, impeachment bullshit, lawfare, using rogue prosecutors arrests and and corruptedjudicary",Hate Speech
mariesf11,@WallStreetApes Do people finally believe - after the #chinavirus - after China buying up American farmland - after the Chinese invading our Universities - after Chinese spies all over America - THAT OUR ENEMY IS AMONG US?\n\n@realDonaldTrump ERRADICATE CHINA FROM AMERICA,en,do people finally believe - after the - after china buying up american farmland - after the chinese invading our universities - after chinese spies all over america - that our enemy is among us? erradicate china from america,Hate Speech
swamp_draineruk,@piersmorgan Will you be taking the latest Booster shot to protect Tommy against the latest #ChinaVirus variant doing the rounds Piers?,en,will you be taking the latest booster shot to protect tommy against the latest variant doing the rounds piers?,Hate Speech
tweetsbyhk,DAMN…. china is making new viruses 🤬\n\n#COVID19 #ChinaVirus,en,damn. china is making new viruses covid19,Hate Speech
BillyGrzanka,@realDonaldTrump take away all #FederalFunding away from all of this disgraceful state #michigan they are trying to start #ChinaVirus #2 this is crazy! @FBI investigations immediately. The #CCP has infiltrated all parts of our country. This needs to be stopped now. TRASH GOVERNOR,en,take away all federalfunding away from all of this disgraceful state michigan they are trying to start 2 this is crazy! investigations immediately. the ccp has infiltrated all parts of our country. this needs to be stopped now. trash governor,Hate Speech
VispyKH,@detroitnews @UMich as if #ChinaVirus was not enough!,en,as if was not enough!,Hate Speech
BillyGrzanka,CNN's Alex Marquardt exits network months after costly defamation case | Fox News #LegacyMedia or #MSM is completely dead. I hope they get sued for one of their BS lies. They deserve to be sued for billions! Between the lies from #ChinaVirus #RussiaGate https://t.co/wrYkYoqDeu,en,cnn's alex marquardt exits network months after costly defamation case | fox news legacymedia or msm is completely dead. i hope they get sued for one of their bs lies. they deserve to be sued for billions! between the lies from russiagate,Hate Speech
Indian781480931,He is claiming 0 cases in #Bejing  actully cases are all\nLocked inside their homes …😂😂 so it becomes “0” #Chinavirus,en,he is claiming 0 cases in bejing actully cases are all locked inside their homes so it becomes 0,Hate Speech
Ms_Joanne_F,@atensnut There was one on a news report where a woman received a letter in August 2020 that her #ChinaVirus test she got in June was positive and she should isolate etc. Her son was interviewed and pointed out that this was quite impossible as she had died the previous February…..,en,there was one on a news report where a woman received a letter in august 2020 that her test she got in june was positive and she should isolate etc. her son was interviewed and pointed out that this was quite impossible as she had died the previous february..,Hate Speech
ChildofGOD1008,She was a great Governor during the #ChinaVirus Thank you @Sec_Noem 🙏🏻,en,she was a great governor during the thank you,Hate Speech
rumba_cat,@nocontextscats No! No! Not the #ChinaVirus again!\n- Cat,en,no! no! not the again! - cat,Hate Speech
TheRealDealDev,Uh oh... @china trying to save themselves from #tariffs with another covid distraction #chinavirus,en,uh oh... trying to save themselves from tariffs with another covid distraction,Hate Speech
rumba_cat,@LeadingReport #ChinaVirus making its return.,en,making its return.,Hate Speech
jac_716,I guess I’m a Domestic Violent Extremist! #MAGA #SuckIt #ChinaVirus,en,i guess im a domestic violent extremist! maga suckit,Dangerous Speech
middatyildiz,@elonmusk #WuhanVirus\n#ChinaVirus \nCovid came from a Chinese lab. \n\n @realDonaldTrump @SpoxCHN_MaoNing @SpoxCHN_LinJian @SpokespersonCHN @MFA_China @PressSec @AFP @mustafasuleyman @pmarca @Yale @LHSummers,en,wuhanvirus covid came from a chinese lab.,Hate Speech
Sonu2084731,Those working out and doing cardio pay heed to below leak \n#COVID19 #Chinavirus #Chineseviarus #Trump \n#Modi \n#Heartattack #exercise https://t.co/xDpwJhCfmh,en,those working out and doing cardio pay heed to below leak covid19 chineseviarus trump modi heartattack exercise,Hate Speech
JackPollar82352,"Joe Rogan is talking about the #ChinaVirus Pfizer VACCINE killing about 500,000 people in the US.",en,"joe rogan is talking about the pfizer vaccine killing about 500,000 people in the us.",Hate Speech
kozlik_kozlik,@thehealthb0t its a  #ChinaVirus,en,its a,Hate Speech
jgparks482,"#China's economy is collapsing, and the people are getting frustrated. It must be time for the #ChinaVirus to make its return. Hmm...#Globalists planning on shutting it down?\nChina Faces #COVID19 Resurgence With Symptoms of Sharp, Burning Sore Throat https://t.co/jNONnqKIvD",en,"china's economy is collapsing, and the people are getting frustrated. it must be time for the to make its return. hmm...globalists planning on shutting it down? china faces covid19 resurgence with symptoms of sharp, burning sore throat",Hate Speech
EduPiyush_01,Is the 2025 #COVID (#ChinaVirus) wave following #OperationSindoor a #CBRN bioweapon attack on India by the China-Pakistan nexus?\n\nPakistanis are planning A Gas Attack on India?? \n(https://t.co/ZANJKFYsSj )\n@majorgauravarya @PrashantDhawann @RajivMessage @sanjeevsanyal @PMOIndia,en,is the 2025 covid () wave following operationsindoor a cbrn bioweapon attack on india by the china-pakistan nexus? pakistanis are planning a gas attack on india?? ( ),Hate Speech
xiang2121,"🦠 The #NB181 variant, now spreading globally, originated in China-yet again, the world is paying the price for #Beijing's lack of transparency. How many more warnings will it take? #ChinaVirus #CCPCoverUp 🌍🚨\nhttps://t.co/gFZfQxloYT",en,"the nb181 variant, now spreading globally, originated in china-yet again, the world is paying the price for beijing's lack of transparency. how many more warnings will it take? ccpcoverup",Hate Speech
Satnsfrnd,"@junogsp7 If we knew then what we know now, nobody would have injected that crap in them! #Chinavirus",en,"if we knew then what we know now, nobody would have injected that crap in them!",Hate Speech
CaliDreamingof,Denying the truth at this point is malfeasance. THE #CHINAVIRUS CAME FROM THE WUHAN LAB.\n\nEvery lie that #Fauci told has been revealed as the falsehoods that they are to protect his illegal gain-of-function research through #EcoHealthAlliance.,en,denying the truth at this point is malfeasance. the came from the wuhan lab. every lie that fauci told has been revealed as the falsehoods that they are to protect his illegal gain-of-function research through ecohealthalliance.,Hate Speech
PopVox24,"@carsonkrow What wasn’t fake?\n\nThe laws they made, the ones they broke, the lives they ruined with their woke agenda. The #ChinaVirus they launched on America - those they killed - and those whose livelihood they destroyed. They created the means to cause businesses to fire exemplary",en,"what wasnt fake? the laws they made, the ones they broke, the lives they ruined with their woke agenda. the they launched on america - those they killed - and those whose livelihood they destroyed. they created the means to cause businesses to fire exemplary",Enraged Speech
GumbysGarage,@XinhuaEconomy #CCP Get your spy ships out of Australian waters and stop bullying other countries. Your propaganda doesn’t fool anyone. You pollute our world with rubbish and hate. #Chinavirus #TiananmenSquare #Covid,en,ccp get your spy ships out of australian waters and stop bullying other countries. your propaganda doesnt fool anyone. you pollute our world with rubbish and hate. tiananmensquare covid,Dangerous Speech
s30366803,It's time to give Taiwan nuclear bo#b. #Chinavirus #ChineseVirua,en,it's time to give taiwan nuclear bob. chinesevirua,Hate Speech
RashidAlba28263,"""#Xi's lapdogs whine about \""poison pills\""? Good! \nThe world's finally wising up to the #CCP's toxic influence. Their \""multilateralism\"" is just a virus spreading economic dependency. Isolation is the cure! #ChinaVirus 1/3\nhttps://t.co/kD2x1LeUHu \n\n@HKokbore""",en,"""xi's lapdogs whine about \""poison pills\""? good! the world's finally wising up to the ccp's toxic influence. their \""multilateralism\"" is just a virus spreading economic dependency. isolation is the cure! 1/3 """,Hate Speech
c2h5oh__99,Are they infected from wuhan virus??\n#wuhanvirus #COVID19 #chinavirus https://t.co/H1dqLxmYLZ,en,are they infected from wuhan virus?? wuhanvirus covid19,Hate Speech
real_bossdog22,"https://t.co/ho3KcfQqRq\n\n#ccpchina #chinavirus #kungflu model minority drug dealers. Black ~10% is who #WhiteSupermacy blames as they are in business with ric3 rock3ts &amp; rucas. Oliver North/Iran Contra or see #TomCruise in American Made. Buy md, jd, phd tech bros/top surgeon sh1t",en,"ccpchina kungflu model minority drug dealers. black ~10% is who whitesupermacy blames as they are in business with ric3 rock3ts &amp; rucas. oliver north/iran contra or see tomcruise in american made. buy md, jd, phd tech bros/top surgeon sh1t",Hate Speech
MerMaid15882072,"@Susan_Dupres @SerranoForWA @stevejoncus Biochemical Warfare was what they intended, ppl fell 4 the 🐂💩 #ChinaVirus, took the #jAb &amp; now..consequences! Us #PureBloods fought2 NOT get the #jAb, ppl lost livelihoods &amp; jobs BUT we knew their game! Now it will be up 2 us 2 save WA,🇺🇸, 🌐!\nCheck out Japanese CV reports😱😒",en,"biochemical warfare was what they intended, ppl fell 4 the , took the jab &amp; now..consequences! us purebloods fought2 not get the jab, ppl lost livelihoods &amp; jobs but we knew their game! now it will be up 2 us 2 save wa,, ! check out japanese cv reports",Hate Speech
DPLRBL92106,Devil wore a lab coat.\nFentynal ##SleepyJoe \n#bidencrimefamilly \nFAUCI ANYONE?\n#ChinaVirus \n\n#MAHA\n\nhttps://t.co/NBctjHg6dr,en,devil wore a lab coat. fentynal #sleepyjoe bidencrimefamilly fauci anyone? maha,Hate Speech
OnlyInMumbai,"India should thank China from the bottom of its heart! Had China not indulged in that military misadventure in #Galwan during the #ChinaVirus pandemic, India may not have been as well-prepared and well-equipped.\n#IndiaPakistanWar #OperationSindoor",en,"india should thank china from the bottom of its heart! had china not indulged in that military misadventure in galwan during the pandemic, india may not have been as well-prepared and well-equipped. indiapakistanwar operationsindoor",Hate Speech
JackPollar82352,It certainly sounds like these leaders wanted &amp; planned for the #ChinaVirus. Are you surprised?,en,it certainly sounds like these leaders wanted &amp; planned for the . are you surprised?,Hate Speech
OU812A_,"Heard a car dealer add on the radio today where they called the China virus the China virus, if it weren’t a Ford Dealership I would have been there today to buy a car #chinavirus #MAGA",en,"heard a car dealer add on the radio today where they called the china virus the china virus, if it werent a ford dealership i would have been there today to buy a car maga",Enraged Speech
jiffyman9,@JustinRose99 @TruistChamp #ChinaVirus strikes again!,en,strikes again!,Hate Speech
Jesustwins2,Skylab advance ending \n#chinavirus leak for ending space #EvilDead,en,skylab advance ending leak for ending space evildead,Hate Speech
jjtmanu,@mjfree YOU ARE A CORRUPT CUC DEPLORABLE PUKE …. #FANGFANG #CHINAVIRUS #CORRUPTDEMS @CNN @cnnbrk @cnni  PROMOTED KILLERS OF USA CITIZENS U D F P C TR SM https://t.co/zFtPYI9CPN,en,you are a corrupt cuc deplorable puke . fangfang corruptdems promoted killers of usa citizens u d f p c tr sm,Hate Speech
Santanu_100,Corona Virus 🦠 \nChinise 🇨🇳 Mouthpiece \nSlave Of Xi Jinping\nFraud &amp; Fake News @globaltimesnews 📰🗞️\nJust Fuck Off\n\n#ChinaVirus #coronavirus #XiJinpingVirus #PakistanBehindPahalgam #PahalgamTerroristAttack #OperationSindoor #IndianArmyForces #PakistanTerroristState #ChiniseVirus https://t.co/MWzBy5fOkT,en,corona virus chinise mouthpiece slave of xi jinping fraud &amp; fake news just fuck off coronavirus xijinpingvirus pakistanbehindpahalgam pahalgamterroristattack operationsindoor indianarmyforces pakistanterroriststate chinisevirus,Hate Speech
MerMaid15882072,"@matt_vanswol Stage 4 Warrior here....29 yrs C free this Nov. There's Life after C highly suggest living purest life possible when it comes 2 food, medications &amp; mental wellbeing!\n#ChinaVirus was a farce, my Veteran DoD employed DH was threatened 4 6-7mths of being fired, stood his ground! 🙏",en,"stage 4 warrior here....29 yrs c free this nov. there's life after c highly suggest living purest life possible when it comes 2 food, medications &amp; mental wellbeing! was a farce, my veteran dod employed dh was threatened 4 6-7mths of being fired, stood his ground!",Hate Speech
tarusharan,"@globaltimesnews 🤣🤣🤣 china's truth every one know. How they lied about #ChinaVirus their economic conditions, their population count. Keep on others laugh on you jokers.",en,"china's truth every one know. how they lied about their economic conditions, their population count. keep on others laugh on you jokers.",Hate Speech
qbanaso888,Can you #ChinaVirus revenge????,en,can you revenge????,Hate Speech
real_bossdog22,https://t.co/UGvhe1Mw8t\n\n#ccpchina #kungflu #chinavirus have the guile to talk about #DEI. Most educated people/model minority are liars ie #zionist #zionism weisselberg. Tomorrow wake up as world top md/surgeon or a tech guru #ElonMusk,en,ccpchina kungflu have the guile to talk about dei. most educated people/model minority are liars ie zionist zionism weisselberg. tomorrow wake up as world top md/surgeon or a tech guru elonmusk,Hate Speech
JPhlewid,"While the demonrats where drafting impeachment articles in 2019, POTUS45 was warning the country (those that would listen) about a pandemic that would later be known as the #ChinaVirus https://t.co/p5t8BW0gg4",en,"while the demonrats where drafting impeachment articles in 2019, potus45 was warning the country (those that would listen) about a pandemic that would later be known as the",Hate Speech
serr8d,Remembering the #ChinaVirus…thanks #CCP!,en,remembering the thanks ccp!,Hate Speech
FiveofFiveOR,@CBSNews China and our corrupt ruling class crushed America's middle class.  #ChinaVirus,en,china and our corrupt ruling class crushed america's middle class.,Hate Speech
middatyildiz,"@zerohedge #China #WuhanVirus #ChinaVirus \nChina has admitted to intentionally supplying fentanyl to the U.S., fueling a crisis that drives billions in healthcare costs, raises insurance premiums, destroys lives, and increases crime in inner cities. Shouldn’t China face consequences for",en,"china wuhanvirus china has admitted to intentionally supplying fentanyl to the u.s., fueling a crisis that drives billions in healthcare costs, raises insurance premiums, destroys lives, and increases crime in inner cities. shouldnt china face consequences for",Hate Speech
alex_091209,President Trump has put China and Xi into a corner…\n\n#china #chinavirus #wuhanlableaks,en,president trump has put china and xi into a corner china wuhanlableaks,Hate Speech
Satnsfrnd,China blames US for origin of COVID-19 and turning 'deaf ear to the numerous questions over its conduct' #Chinavirus #Commies\n\nhttps://t.co/QPAgXVcav9,en,china blames us for origin of covid-19 and turning 'deaf ear to the numerous questions over its conduct' commies,Hate Speech
Eco_Promos,Pretty sure the #ChinaVirus is going to get blamed for the #TrumpRecession \n\n#trump #China #economy https://t.co/NtQ7Qe5CUM,en,pretty sure the is going to get blamed for the trumprecession trump china economy,Hate Speech
playofftanaka19,if you’re at the yankees vs orioles game can you please tell the guy sitting behind home plate to take off the mask it’s ridiculous. how could you be wearing those masks 5 years after a fake virus #repbx #chinavirus #retarded,en,if youre at the yankees vs orioles game can you please tell the guy sitting behind home plate to take off the mask its ridiculous. how could you be wearing those masks 5 years after a fake virus repbx retarded,Hate Speech
alex_091209,Hold them accountable.\n\n#china #chinavirus,en,hold them accountable. china,Hate Speech
BlastProphet,"@MFA_China Could you just say it plainly? What's the virus this time? Which local market? And to where are you going to send the first flight of the infected? And lastly, and this is important, what should we stock up on?\n\n#chinavirus\n#TakeDownTheCCP",en,"could you just say it plainly? what's the virus this time? which local market? and to where are you going to send the first flight of the infected? and lastly, and this is important, what should we stock up on? takedowntheccp",Hate Speech
tarusharan,@timesofindia @CMShehbaz means like china supported in investigation during #ChinaVirus #WuhanVirus #Covid,en,means like china supported in investigation during wuhanvirus covid,Hate Speech
ChoiceNewsNet,"🌐\nAll Talk With Holding China Accountable For Lives Lost, Let Alone The Financial &amp; Emotional Disaster It Caused\n\nHow Do you Quantify A Loved One Dying With No Family Allowed Next To Them As They Died Of COVID-19 ???\n\n#ChinaVirus",en,"all talk with holding china accountable for lives lost, let alone the financial &amp; emotional disaster it caused how do you quantify a loved one dying with no family allowed next to them as they died of covid-19 ???",Hate Speech
real_bossdog22,https://t.co/2lZyPWB8ir\n\nSit down &amp; be quiet #ccpchina #chinavirus #kungflu. Rice rockets dont know sh!t just build #techtwitter cheaper than the rest. If #apple #iphone made in US price would go +1K. Your place #aapi #ivyleague vermin is cheap labor; you dont question others,en,sit down &amp; be quiet ccpchina kungflu. rice rockets dont know sh!t just build techtwitter cheaper than the rest. if apple iphone made in us price would go +1k. your place aapi ivyleague vermin is cheap labor; you dont question others,Dangerous Speech
BigJordanHump,"Walking behind a double masker on speedway rn, frantically coughing directly on her, doing the lords work this humpday. #ballstoo #maskwontsaveyou #chinavirus",en,"walking behind a double masker on speedway rn, frantically coughing directly on her, doing the lords work this humpday. ballstoo maskwontsaveyou",Hate Speech
alex_091209,"Reciprocal tariffs are just the beginning.\n\nThe second is about #chinavirus receipts…\n\nBe careful of what you wish, china and adversaries… you are gonna prepare for something bigger which is another pandemic?",en,"reciprocal tariffs are just the beginning. the second is about receipts be careful of what you wish, china and adversaries you are gonna prepare for something bigger which is another pandemic?",Hate Speech
cbr1000racer,@GuntherEagleman #ChineseVirus #ChinaVirus #ChinaCoronaVirus #WuhanVirus #WuhanCoronavirusOutbreak #Wuhan  #WuhanOutbreak #KungFlu #ChinaLiedPeopleDied #COVID19 #WHO #WHOLiedPeopleDied 🦠 🇨🇳 🦠 🇨🇳 🦠 🇨🇳 🦠 FUCKING CHINA!!,en,chinesevirus chinacoronavirus wuhanvirus wuhancoronavirusoutbreak wuhan wuhanoutbreak kungflu chinaliedpeopledied covid19 who wholiedpeopledied fucking china!!,Hate Speech
simplythebestRR,Lab Leak: The True Origins of Covid-19 – The White House!!!!! #ChinaVirus  https://t.co/LdCdE8bZTN,en,lab leak: the true origins of covid-19 the white house!!!!!,Hate Speech
Yorks_T_Drinker,Was Trump right all along? #chinavirus,en,was trump right all along?,Hate Speech
SundevilSal,Fauci should be indicted and prosecuted #ChinaVirus @CNN @tedlieu,en,fauci should be indicted and prosecuted,Hate Speech
snarkycheeky,@zhao_dashuai The yellow peril have killed millions of whites with #ChinaVirus. Now the yellow peril are threatening the white world with what it calls “White Emperor”. The yellow peril also flood the West with its immigrants and students acting as 5th Column who have hollowed out the West and,en,the yellow peril have killed millions of whites with . now the yellow peril are threatening the white world with what it calls white emperor. the yellow peril also flood the west with its immigrants and students acting as 5th column who have hollowed out the west and,Hate Speech
SimpleDawg,"@MilaLovesJoe I was at 42years, 354 days when the #ChinaVirus took her....",en,"i was at 42years, 354 days when the took her....",Hate Speech
rjerke_snp,@WallStreetMav Never forget: #ChinaVirus,en,never forget:,Hate Speech
TXluvsnoBSTrump,@LibOrNormal @JamesPleickhar2 Yes as they cause COVID #ChinaVirus,en,yes as they cause covid,Hate Speech
IAmManofJustice,"I Didnt take any pharma-govt mafia scam #vaccine for #chinavirus. No one dare label me Left or woke. It was just use of common sense even though in a panic, fear stricken public &amp; dictatorship environment\n\n#RoohAfza is pan dabba wala pan spit bottled. Enjoy it who want to\n#india",en,"i didnt take any pharma-govt mafia scam vaccine for . no one dare label me left or woke. it was just use of common sense even though in a panic, fear stricken public &amp; dictatorship environment roohafza is pan dabba wala pan spit bottled. enjoy it who want to india",Enraged Speech
mariesf11,@SenateGOP Hold them accountable for the #chinavirus,en,hold them accountable for the,Hate Speech
StevenH010101,@JDVanceNewsX Got to be a big fat YES.. I wouldn’t allow fresh faces in from China.. China must face up to what to unleashed on the world. I like to call it the #chinavirus,en,got to be a big fat yes.. i wouldnt allow fresh faces in from china.. china must face up to what to unleashed on the world. i like to call it the,Hate Speech
mlosuna,Newly surfaced report provides more clues on #COVID outbreak source and timeline. No surprise that #JoeBiden hid the truth about the #chinavirus. #Wuhan #China #fakenewsmedia  https://t.co/fvXG4yjddB,en,newly surfaced report provides more clues on covid outbreak source and timeline. no surprise that joebiden hid the truth about the . wuhan china fakenewsmedia,Hate Speech
mariesf11,"@MJTruthUltra This is the MOST accurate that I've heard in many years - finally the USA is on top of this CCP invasion.\n\nThe #chinavirus was sent into the world by them to weaken us-and Biden let in the young military age ones in droves.\n\nAnd, you know they're on this platform reading&amp;watching",en,"this is the most accurate that i've heard in many years - finally the usa is on top of this ccp invasion. the was sent into the world by them to weaken us-and biden let in the young military age ones in droves. and, you know they're on this platform reading&amp;watching",Hate Speech
DFKentdale,"We've known all of this.  Now, we need to know whether it was purposeful.  We need to know about the push to shove an experimental gene therapy into everyone's arms. We need to know about the deaths and injuries that caused.  #COVID19 #lableak #Chinavirus #vaccineinjury https://t.co/KGi34TjHHY",en,"we've known all of this. now, we need to know whether it was purposeful. we need to know about the push to shove an experimental gene therapy into everyone's arms. we need to know about the deaths and injuries that caused. covid19 lableak vaccineinjury",Hate Speech
bostonuniv1987,"Trump’s win on tariffs!\n\nWhy play hardball with #China?\n1. They’ve been stealing our IT and selling it back to us for years.\n2. They gave us the #ChinaVirus on 2020\n3. They are the biggest threat to American security, bigger than Russia https://t.co/aY6g4A1jEu",en,"trumps win on tariffs! why play hardball with china? 1. theyve been stealing our it and selling it back to us for years. 2. they gave us the on 2020 3. they are the biggest threat to american security, bigger than russia",Dangerous Speech
TorosSahakian,The Atlantic Insists on Covid Denial \n#COVIDdenial #Covidhoax #ChinaVirus\nhttps://t.co/moQeznsrqR via @brownstoneinst,en,the atlantic insists on covid denial coviddenial covidhoax via,Hate Speech
ATrainGames,@officialellymay @SenDuckworth @SenDuckworth You serve the Party of OPPRESSION (200 years and counting) so your bias is clear. \n\nWhere were you when Biden was DISCHARGING service members for refusing the #ChinaVirus VAX?? Hmm? \n\nHow's that worked out for so many who took it?\n\nHow's your stock portfolio doing? https://t.co/aYkoLMJEhX,en,you serve the party of oppression (200 years and counting) so your bias is clear. where were you when biden was discharging service members for refusing the vax?? hmm? how's that worked out for so many who took it? how's your stock portfolio doing?,Hate Speech
Satnsfrnd,Newly surfaced report provides more clues on COVID outbreak source and timeline. #CHINAVIRUS #Commies \n\nhttps://t.co/MaZ31HA4ka,en,newly surfaced report provides more clues on covid outbreak source and timeline. commies,Hate Speech
bostonuniv1987,@LeadingReport Let’s not forget the gift the Wuhan Lab sent to America in January of 2020!\n#ChinaVirus #Covid19,en,lets not forget the gift the wuhan lab sent to america in january of 2020! covid19,Hate Speech
